Count,Filename_0,Time_0,FrameDisp_(mm),Load_(N)
366,ENF-05_0366.png,185.98,3.20510100811365,808.4683887378
367,ENF-05_0367.png,186.48,3.20645819864552,810.1944760266
368,ENF-05_0368.png,186.98,3.21324002610565,812.0815443972
369,ENF-05_0369.png,187.48,3.22861464346815,814.1148257592
370,ENF-05_0370.png,187.98,3.22590163747082,816.2943645948
371,ENF-05_0371.png,188.48,3.23494407408434,818.2397936118
372,ENF-05_0372.png,188.98,3.24398926083065,821.0191749144
373,ENF-05_0373.png,189.48,3.25710051890697,824.2080593502
374,ENF-05_0374.png,189.98,3.26840631480666,826.958126883
375,ENF-05_0375.png,190.48,3.27699772964262,829.2693330306
376,ENF-05_0376.png,190.98,3.2833285353252,831.5952183042
377,ENF-05_0377.png,191.48,3.29327714069303,833.7015839208
378,ENF-05_0378.png,191.98,3.30458156152632,837.1391238546
379,ENF-05_0379.png,192.48,3.31633700413717,840.562118109
380,ENF-05_0380.png,192.98,3.32266918488615,843.282871872
381,ENF-05_0381.png,193.48,3.33352120887549,845.389326453
382,ENF-05_0382.png,193.98,3.33894722087016,847.3933830096
383,ENF-05_0383.png,194.48,3.34799103255007,849.5729663274
384,ENF-05_0384.png,194.98,3.3579396379179,851.6354724948
385,ENF-05_0385.png,195.48,3.36562625906595,853.6687538568
386,ENF-05_0386.png,195.98,3.37376665212435,856.2286599846
387,ENF-05_0387.png,196.48,3.38190567011636,858.686168088
388,ENF-05_0388.png,196.98,3.3927576941057,861.4946852316
389,ENF-05_0389.png,197.48,3.40270492440713,864.3032468574
390,ENF-05_0390.png,197.98,3.40948812693366,866.5851837174
391,ENF-05_0391.png,198.48,3.41355694839646,868.5600154686
392,ENF-05_0392.png,198.98,3.43028875629083,871.8805227342
393,ENF-05_0393.png,199.48,3.43842914934923,875.0694516522
394,ENF-05_0394.png,199.98,3.45063698880404,877.6732172292
395,ENF-05_0395.png,200.48,3.46149038785977,880.0136926644
396,ENF-05_0396.png,200.98,3.46058696923826,881.827587816
397,ENF-05_0397.png,201.48,3.47369960238097,884.0949345144
398,ENF-05_0398.png,201.98,3.48183724530659,886.8742268526
399,ENF-05_0399.png,202.48,3.48726463236765,888.8636932476
400,ENF-05_0400.png,202.98,3.49676084089152,891.5259084354
401,ENF-05_0401.png,203.48,3.50218685288619,894.027275988
402,ENF-05_0402.png,203.98,3.51484846425135,897.1138068816
403,ENF-05_0403.png,204.48,3.52298748224336,899.8930992198
404,ENF-05_0404.png,204.98,3.53429190307665,902.292068748
405,ENF-05_0405.png,205.48,3.54243092106866,904.4277926166
406,ENF-05_0406.png,205.98,3.55238090150288,906.563472003
407,ENF-05_0407.png,206.48,3.5541891138123,908.5674840774
408,ENF-05_0408.png,206.98,3.56820516557653,911.902670469
409,ENF-05_0409.png,207.48,3.57498836810307,915.135414354
410,ENF-05_0410.png,207.98,3.58674518578032,917.5344728466
411,ENF-05_0411.png,208.48,3.59488695390512,919.6262483016
412,ENF-05_0412.png,208.98,3.60618999967202,922.1861544294
413,ENF-05_0413.png,209.48,3.61116223975634,924.2779298844
414,ENF-05_0414.png,209.98,3.62382660125428,926.5306864212
415,ENF-05_0415.png,210.48,3.62834781956104,928.885752018
416,ENF-05_0416.png,210.98,3.64326866501319,932.7913781424
417,ENF-05_0417.png,211.48,3.65231247669311,935.570759445
418,ENF-05_0418.png,211.98,3.66407066943675,938.1599348604
419,ENF-05_0419.png,212.48,3.66904428458746,940.3978788246
420,ENF-05_0420.png,212.98,3.6798976836432,942.7677125118
421,ENF-05_0421.png,213.48,3.68848909847916,945.54700485
422,ENF-05_0422.png,213.98,3.6993411224685,947.960609022
423,ENF-05_0423.png,214.48,3.70521815624073,949.8330427488
424,ENF-05_0424.png,214.98,3.71019314645784,951.7053875112
425,ENF-05_0425.png,215.48,3.71742737076194,953.7532590348
426,ENF-05_0426.png,215.98,3.72511536697638,956.2693057134
427,ENF-05_0427.png,216.48,3.7341591786563,958.4489335134
428,ENF-05_0428.png,216.98,3.74727043673262,961.3013101062
429,ENF-05_0429.png,217.48,3.75541082979102,963.5101627116
430,ENF-05_0430.png,217.98,3.76535943515885,965.8214133414
431,ENF-05_0431.png,218.48,3.77395084999481,968.205792708
432,ENF-05_0432.png,218.98,3.78073542758773,971.1606118074
433,ENF-05_0433.png,219.48,3.79158607651068,973.7643773844
